time,vehicle_type,spawn_lane,objective_direction,total_time,total_stop_time,min_vel,max_vel
1589384396,Car,Road West entry,1,2486,0,30,40
1589384406,Car,Road South entry,1,2484,0,30,40
1589384417,Car,Road East entry,1,2484,0,30,40
1589384428,Car,Road North entry,2,3684,0,9,40
1589384435,Car,Road East entry,1,2484,0,30,40
1589384446,Bus,Road North entry,1,3909,0,10,30
1589384464,Car,Road South entry,2,7502,1753,0,40
1589384470,Car,Road West entry,3,3665,410,0,40
1589384716,Car,Road North entry,3,4358,0,10,40
1589384718,Car,Road South entry,3,3696,0,10,40
1589384736,Bus,Road North entry,3,7615,3752,0,30
1589384745,Car,Road West entry,3,7444,4003,0,40
1589384748,Bus,Road East entry,1,6391,733,0,30
1589384755,Car,Road North entry,3,5995,1322,0,40
1589384764,Bus,Road North entry,2,3623,0,9,30
1589385034,Car,Road East entry,3,2528,0,15,40
1589385035,Car,Road West entry,1,2486,0,30,40
1589385199,Car,Road West entry,2,3464,0,9,40
1589385203,Car,Road North entry,1,2999,0,10,40
1589385566,Car,Road South entry,1,2293,0,19,40
1589385567,Bus,Road North entry,1,4393,0,10,30
1589385567,Car,Road North entry,2,5898,250,0,40
1589385819,Car,Road South entry,2,4443,0,9,40
1589385826,Car,Road West entry,1,4077,0,10,40
1589385834,Car,Road South entry,3,5112,1889,0,40
1589385843,Bus,Road South entry,1,3323,0,24,30
1589385863,Car,Road East entry,3,3165,0,5,40
1589385892,Car,Road West entry,2,3816,0,9,40
1589385911,Car,Road West entry,2,4267,0,9,40
1589385915,Car,Road South entry,3,4627,1404,0,40
1589386024,Car,Road West entry,1,2509,0,30,40
1589386028,Car,Road South entry,3,4181,0,10,40
1589386030,Car,Road North entry,1,3538,0,10,40
1589386030,Car,Road North entry,2,5467,1136,0,40
1589386040,Bus,Road East entry,1,6153,490,0,30
1589386041,Car,Road East entry,1,4403,0,10,40
1589386054,Bus,Road South entry,1,3305,0,30,30
1589386303,Car,Road North entry,3,4056,0,10,40
1589386307,Bus,Road South entry,1,3305,0,30,30
1589386449,Car,Road South entry,2,4225,0,4,40
1589386451,Car,Road North entry,3,2964,0,15,40
1589386587,Bus,Road East entry,2,3967,0,9,30
1589386595,Car,Road South entry,3,2622,0,15,40
1589386596,Car,Road South entry,2,3902,0,9,40
1589386751,Car,Road South entry,1,4526,0,10,40
1589386764,Car,Road West entry,2,7643,1759,0,40
1589386771,Car,Road North entry,1,5982,845,0,40
1589386899,Car,Road South entry,2,4608,328,0,40
1589386907,Car,Road East entry,3,5043,379,0,40
1589386921,Bus,Road South entry,2,6711,494,0,30
1589387036,Car,Road West entry,2,3464,0,9,40
1589387092,Car,Road South entry,3,4362,0,10,40
1589387595,Bus,Road South entry,2,3626,0,9,30
1589387604,Car,Road West entry,1,2486,0,30,40
1589387613,Bus,Road South entry,2,3661,0,9,30
1589387650,Car,Road North entry,1,6461,1325,0,40
1589387712,Car,Road East entry,1,2484,0,30,40
1589387721,Bus,Road North entry,1,4633,0,10,30
1589387729,Car,Road East entry,3,2528,0,15,40
1589387758,Car,Road South entry,3,6551,3328,0,40
1589387760,Car,Road North entry,1,3805,0,10,40
2020-05-13T16:36:29.147Z,Car,Road East entry,1,2484,0,30,40
